curve_type,parameter_label,parameter_value,radius_km,gamma_core_incidences,edge_count,retained_fraction_of_temporal,spatially_unmeasured_edges_retained,core_zero_degree_count,core_min_degree,core_max_degree,cover_status,cover_mip_gap,query,unit,lower,upper,width,endpoint_pair_certification,diagnostic_lower_nonoptimal_incumbent,diagnostic_upper_nonoptimal_incumbent,lower_status,upper_status,lower_mip_gap,upper_mip_gap,max_replay_residual,edges_with_missing_query_values,query_missing_semantics,endpoint_source,claim
buffer_padding,10 min,10.0,,,21645,0.891694817500206,10666,0,265,518,OPTIMAL_NUMERICAL_MILP,0.0,same_pickup_community_area_fraction_per_core,fraction,0.0,1.0,1.0,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
buffer_padding,10 min,10.0,,,21645,0.891694817500206,10666,0,265,518,OPTIMAL_NUMERICAL_MILP,0.0,same_dropoff_community_area_fraction_per_core,fraction,0.0,1.0,1.0,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
buffer_padding,15 min,15.0,,,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_trip_miles_gap_per_core,miles,0.031591666666666754,20.297733333333333,20.266141666666666,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_miles,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
buffer_padding,15 min,15.0,,,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_duration_gap_per_core,minutes,0.11833333333333333,47.06027777777778,46.941944444444445,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_seconds,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
buffer_padding,15 min,15.0,,,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_fare_gap_per_core,dollars,,,,UNCERTIFIED,,,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,,,,512,unresolved if any retained edge lacks fare,direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
buffer_padding,15 min,15.0,,,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0,same_pickup_community_area_fraction_per_core,fraction,0.0,1.0,1.0,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
buffer_padding,15 min,15.0,,,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0,same_dropoff_community_area_fraction_per_core,fraction,0.0,1.0,1.0,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",direct_milp,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
buffer_padding,30 min,30.0,,,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_trip_miles_gap_per_core,miles,0.031591666666666754,20.297733333333333,20.266141666666666,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_miles,canonical_complete_boundary_identity,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
buffer_padding,30 min,30.0,,,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_duration_gap_per_core,minutes,0.11833333333333333,47.06027777777778,46.941944444444445,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,unresolved if any retained edge lacks trip_seconds,canonical_complete_boundary_identity,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
buffer_padding,30 min,30.0,,,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0,mean_absolute_fare_gap_per_core,dollars,,,,UNCERTIFIED,,,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,UNRESOLVED_MISSING_PUBLIC_QUERY_VALUES,,,,512,unresolved if any retained edge lacks fare,canonical_complete_boundary_identity,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
buffer_padding,30 min,30.0,,,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0,same_pickup_community_area_fraction_per_core,fraction,0.0,1.0,1.0,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",canonical_complete_boundary_identity,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
buffer_padding,30 min,30.0,,,24274,1.0,11865,0,308,610,OPTIMAL_NUMERICAL_MILP,0.0,same_dropoff_community_area_fraction_per_core,fraction,0.0,1.0,1.0,CERTIFIED_OPTIMAL_PAIR,,,OPTIMAL_NUMERICAL_MILP,OPTIMAL_NUMERICAL_MILP,0.0,0.0,0.0,0,"missing endpoint area contributes interval [0,1]",canonical_complete_boundary_identity,"conditional sensitivity over a count-closed, core-incident public temporal candidate universe; no hidden-run or partner-recall claim"
